唛头,快递单号,品名,件数,实际计算重量,实际收款泰铢,发货日期,快递状态
YW-TIKTOK-03,JT3BOI7ZSTY5,充电线,10,9.54,553.56,2026-08-13,已签收
YW-TIKTOK-03,KYWSCNBQNQV070VC,化妆品,9,18.01,521.33,2026-08-13,派送中
YW-TIKTOK-03,BEST6KQYA48Y2CXN,服装,8,11.78,472.16,2026-08-13,清关中
YW-TIKTOK-03,KYGMLN4C6OMCX,日用百货,1,1.59,48.08,2026-08-14,已揽收
YW-TIKTOK-03,SF1IG1OM19X9MS,家居收纳,9,19.56,954.47,2026-08-14,已签收
YW-TIKTOK-03,THP38VSXY1ETGR,服装,18,10.54,698.7,2026-08-14,已揽收
YW-TIKTOK-03,JT2B0AVKTV917U,家居收纳,4,5.72,255.26,2026-08-14,已发运
DG-WH-088,THPV6U4WBGUW3I,化妆品,14,22.44,1424.59,2026-08-15,已签收
DG-WH-088,JTYH0LO655IJ,家居收纳,10,13.58,472.52,2026-08-15,运输中
DG-WH-088,FLASHMY8GISY5XP48ZJ,鞋靴,4,7.15,254.11,2026-08-15,已发运
DG-WH-088,THPE7ZXKLKKXAYYS,童装,3,6.82,339.11,2026-08-15,已揽收
DG-WH-088,FLASH3GFPP5RYDIEF,日用百货,18,26.89,1223.56,2026-08-15,清关中
DG-WH-088,FLASH40O8EXHQ5NUPPK,运动护具,6,3.73,177.34,2026-08-15,已揽收
DG-WH-088,KY9P55U61C9O64,手机壳,9,8.73,339.63,2026-08-13,已签收
DG-WH-088,BESTEXDICGA52X5GXJ,家居收纳,8,15.72,828.67,2026-08-13,已发运
DG-WH-088,KYFZQ65GGY4UPU,化妆品,5,11.47,703.45,2026-08-13,运输中
NB-FLASH-12,THPMW58MMQOSXM2,箱包配件,11,4.49,303.17,2026-08-13,已发运
NB-FLASH-12,THPBAE818B9RLGRH,鞋靴,19,16.7,809.65,2026-08-13,已揽收
NB-FLASH-12,KY7QOUW25ZZX0J6I,手机壳,13,17.44,739.48,2026-08-13,清关中
NB-FLASH-12,KYE5YGU9P8SRU8YW,童装,19,10.29,598.93,2026-08-13,运输中
NB-FLASH-12,KYTDF70UFYJIE,充电线,11,11.49,398.44,2026-08-13,已揽收
NB-FLASH-12,THPDEWHCSHIBC,日用百货,22,33.34,1197.27,2026-08-13,已揽收
NB-FLASH-12,THP8F3WON9MQS46KM,服装,20,38.04,1573.9,2026-08-14,派送中
NB-FLASH-12,JTDMR4DO7S52JWS,童装,23,29.03,1298.35,2026-08-14,运输中
NB-FLASH-12,JTBKRSP8X6DK,充电线,9,11.26,691.07,2026-08-14,运输中
NB-FLASH-12,KYMNK8TKNY5S,日用百货,19,38.06,1384.98,2026-08-14,已揽收
NB-FLASH-12,JT8KSRFVEJHQUE,日用百货,13,12.35,584.99,2026-08-14,已揽收
NB-FLASH-12,SFRFNAGV2QEM,化妆品,14,28.52,1567.64,2026-08-14,已揽收
